BINDID	MolNameA	MolTypeA	GIA	GeneA	TaxName	MolNameB	MolTypeB	GIB	GeneB	TaxName	PMIDs
202023	gamma-Tub37C	protein	17316358	35199	Drosophila melanogaster	Dgrip75	protein	19921092	34441	Drosophila melanogaster	12431375
208322	Rpn6	protein	17137740	36638	Drosophila melanogaster	Alien/CSN2	protein	24582975	34225	Drosophila melanogaster	12426099
209209	EB1	protein	0	35584	Drosophila melanogaster	Mast	protein	0	43901	Drosophila melanogaster	15723056
209211	EB1	protein	0	35584	Drosophila melanogaster	NCD	protein	17136354	43517	Drosophila melanogaster	15723056
209280	Cos2	protein	17137092	35653	Drosophila melanogaster	Fu	protein	17137760	32855	Drosophila melanogaster	15691767
209281	Cos2	protein	17137092	35653	Drosophila melanogaster	CKI-alpha	protein	0	32221	Drosophila melanogaster	15691767
209282	Cos2	protein	17137092	35653	Drosophila melanogaster	GSK3	protein	0	31248	Drosophila melanogaster	15691767
209283	Cos2	protein	17137092	35653	Drosophila melanogaster	PKAc	protein	0	34284	Drosophila melanogaster	15691767
209416	Shf	protein	18858113	31617	Drosophila melanogaster	Hh	protein	24649223	42737	Drosophila melanogaster	15691765
214336	Dof	protein	24646866	41770	Drosophila melanogaster	CG2713	protein	18543299	31266	Drosophila melanogaster	12767830
214337	Dof	protein	24646866	41770	Drosophila melanogaster	CycG	protein	0	43724	Drosophila melanogaster	12767830
214338	Dof	protein	24646866	41770	Drosophila melanogaster	Cdep	protein	0	40608	Drosophila melanogaster	12767830
214339	Dof	protein	24646866	41770	Drosophila melanogaster	PP2A-B'	protein	0	42169	Drosophila melanogaster	12767830
214340	Dof	protein	24646866	41770	Drosophila melanogaster	Gus	protein	0	35478	Drosophila melanogaster	12767830
214341	Dof	protein	24646866	41770	Drosophila melanogaster	Cup	protein	24582283	33934	Drosophila melanogaster	12767830
214342	Dof	protein	24646866	41770	Drosophila melanogaster	Hr39	protein	0	35398	Drosophila melanogaster	12767830
214524	Lgl	protein	24464586	33156	Drosophila melanogaster	Myosin II	protein	0	38001	Drosophila melanogaster	15694314
214525	Lgl	protein	24464586	33156	Drosophila melanogaster	Lgl	protein	24464586	33156	Drosophila melanogaster	15694314
214572	Src42A	protein	24585924	35524	Drosophila melanogaster	CNK	protein	24654393	36952	Drosophila melanogaster	15660123
214605	HOW(L)	protein	24648896	42596	Drosophila melanogaster	Stripe	rna	0	42162	Drosophila melanogaster	15723789
214606	HOW(L)	protein	24648896	42596	Drosophila melanogaster	String	rna	24651026	43466	Drosophila melanogaster	15723789
215365	CKII-alpha	protein	24668859	48448	Drosophila melanogaster	rpL22	protein	17137152	31022	Drosophila melanogaster	12379220
215366	CKII-alpha	protein	24668859	48448	Drosophila melanogaster	CKII-beta	protein	0	32132	Drosophila melanogaster	12379220
215885	PNG	protein	17137774	31084	Drosophila melanogaster	PLU	protein	17136404	44848	Drosophila melanogaster	14665672
216005	D-Rap1	protein	17136706	38244	Drosophila melanogaster	D-Raf	protein	17933524	31221	Drosophila melanogaster	15723799
216006	D-Ras1	protein	17136430	41140	Drosophila melanogaster	D-Raf	protein	17933524	31221	Drosophila melanogaster	15723799
216051	SMG	protein	0	39034	Drosophila melanogaster	NOT1	protein	0	35982	Drosophila melanogaster	15723788
216052	SMG	protein	0	39034	Drosophila melanogaster	POP2	protein	0	39366	Drosophila melanogaster	15723788
216053	SMG	protein	0	39034	Drosophila melanogaster	CCR4	protein	0	42880	Drosophila melanogaster	15723788
216094	CKII-alpha	protein	24668859	48448	Drosophila melanogaster	CKII-beta	protein	18158427	32132	Drosophila melanogaster	11208814
123285	Drk	protein	17136708	36497	Drosophila melanogaster	Sos	protein	18110536	34790	Drosophila melanogaster	7781603
126393	par-1	protein	9650696	0	Drosophila melanogaster	tau	protein	24650678	43320	Drosophila melanogaster	15006350
126394	Drk	protein	17136708	36497	Drosophila melanogaster	Sev	protein	24641176	32039	Drosophila melanogaster	7781603
128065	Crb	protein	24649628	42896	Drosophila melanogaster	Dlt	protein	5410320	46719	Drosophila melanogaster	10662667
128066	Crb	protein	24649628	42896	Drosophila melanogaster	SdtA	protein	24640540	44861	Drosophila melanogaster	11740559
128067	Crb	protein	24649628	42896	Drosophila melanogaster	SdtB	protein	24640542	44861	Drosophila melanogaster	11740559
128073	miranda	protein	2854208	42379	Drosophila melanogaster	numb	protein	24583043	34263	Drosophila melanogaster	9267025
128257	Filamin	protein	12002996	42066	Drosophila melanogaster	DLA-b	protein	17737687	40260	Drosophila melanogaster	10984440
128258	Filamin	protein	12002996	42066	Drosophila melanogaster	DLA-a	protein	24667500	40260	Drosophila melanogaster	10984440
128260	miranda	protein	2854208	42379	Drosophila melanogaster	prospero	protein	24645914	41363	Drosophila melanogaster	9267025
130921	Dof	protein	24646866	41770	Drosophila melanogaster	Htl	protein	24647817	42160	Drosophila melanogaster	12767830
133327	Numb	protein	24583043	34263	Drosophila melanogaster	EHD	protein	24646381	41569	Drosophila melanogaster	15155807
134020	TIM	protein	24581451	33571	Drosophila melanogaster	CRY	protein	24648152	42305	Drosophila melanogaster	15178801
134027	H3	protein	24585677	318847	Drosophila melanogaster	p-stg	dna	20349357	43466	Drosophila melanogaster	15143281
134028	H3	protein	24585677	318847	Drosophila melanogaster	p-gt	dna	24643829	31227	Drosophila melanogaster	15143281
134029	TAF1	protein	45553265	40813	Drosophila melanogaster	p-stg	dna	20349357	43466	Drosophila melanogaster	15143281
134030	H3	protein	24585677	318847	Drosophila melanogaster	p-act5C	dna	24643829	31521	Drosophila melanogaster	15143281
134031	TAF1	protein	45553265	40813	Drosophila melanogaster	p-gt	dna	24643829	31227	Drosophila melanogaster	15143281
134032	TAF1	protein	45553265	40813	Drosophila melanogaster	p-act5C	dna	24643829	31521	Drosophila melanogaster	15143281
134043	H4	protein	24585675	318846	Drosophila melanogaster	p-stg	dna	20349357	43466	Drosophila melanogaster	15143281
134044	H4	protein	24585675	318846	Drosophila melanogaster	p-gt	dna	24643829	31227	Drosophila melanogaster	15143281
134046	TAF1	protein	45553265	40813	Drosophila melanogaster	H4	protein	24585675	318846	Drosophila melanogaster	15143281
134047	H2B	protein	24585671	326273	Drosophila melanogaster	p-stg	dna	20349357	43466	Drosophila melanogaster	15143281
134048	H2B	protein	24585671	326273	Drosophila melanogaster	p-gt	dna	24643829	31227	Drosophila melanogaster	15143281
134163	dSU(VAR)3-9	protein	24647050	41843	Drosophila melanogaster	dSU(VAR)3-9	protein	24647050	41843	Drosophila melanogaster	15035645
134389	PAIP2	protein	17933646	41591	Drosophila melanogaster	PABP	protein	495594	0	Drosophila melanogaster	14729960
134448	Dof	protein	24646866	41770	Drosophila melanogaster	Dof	protein	24646866	41770	Drosophila melanogaster	12767830
134450	Hairless	protein	24648463	42445	Drosophila melanogaster	dCtBP	protein	24646446	41602	Drosophila melanogaster	12154126
134451	Hairless	protein	24648463	42445	Drosophila melanogaster	Groucho	protein	24650235	43162	Drosophila melanogaster	12154126
134452	Hairy	protein	24661088	38995	Drosophila melanogaster	Groucho	protein	24650235	43162	Drosophila melanogaster	12154126
144304	Sprouty	protein	24656844	38424	Drosophila melanogaster	Gap1	protein	17737349	32569	Drosophila melanogaster	10089881
144306	Sprouty	protein	24656844	38424	Drosophila melanogaster	Drk	protein	17136708	36497	Drosophila melanogaster	10089881
144490	Pho	protein	17864180	43819	Drosophila melanogaster	Esc	protein	17137672	34595	Drosophila melanogaster	15175158
144491	Phol	protein	24661643	39095	Drosophila melanogaster	Esc	protein	17137672	34595	Drosophila melanogaster	15175158
144492	Pho	protein	17864180	43819	Drosophila melanogaster	E(z)	protein	24662251	39203	Drosophila melanogaster	15175158
144541	Hairy	protein	24661088	38995	Drosophila melanogaster	dSir2	protein	17137536	34708	Drosophila melanogaster	12086602
144542	Deadpan	protein	17136808	35800	Drosophila melanogaster	dSir2	protein	17137536	34708	Drosophila melanogaster	12086602
144543	Dof	protein	24646866	41770	Drosophila melanogaster	Btl	protein	24664073	39564	Drosophila melanogaster	12767830
144596	MyD88	protein	19921906	35956	Drosophila melanogaster	Tube	protein	28571503	40554	Drosophila melanogaster	12351681
