CG10086	FBan0010086	FBgn0037517	CG10086		
CG10089	FBan0010089	FBgn0036369	CG10089		
CR31143	FBan0031143	FBgn0051143	CR31143		FBgn0060164
CG18729	FBan0018729	FBgn0061476	zwilch		FBgn0036933,FBgn0042214
CG1850	FBan0001850	FBgn0033154	CG1850		
CG1851	FBan0001851	FBgn0026602	Ady43A		FBgn0033152
CG1854	FBan0001854	FBgn0026389	Or43a	Odorant receptor 43a	
CG1856	FBan0001856	FBgn0003870	ttk	tramtrack	FBgn0011319,FBgn0011402,FBgn0011681,FBgn0039865,FBgn0039866
CG1857	FBan0001857	FBgn0002930	nec	necrotic	FBgn0024292,FBgn0028676,FBgn0033148,FBgn0063807
CG1859	FBan0001859	FBgn0033147	CG1859		
CG10090	FBan0010090	FBgn0038018	Tim17a1		
CG10091	FBan0010091	FBgn0038020	GstD9	Glutathione S transferase D9	
CG10092	FBan0010092	FBgn0037526	CG10092		
CG10093	FBan0010093	FBgn0038007	Cyp313a3		
CG10094	FBan0010094	FBgn0038006	Cyp313a2		
CG10095	FBan0010095	FBgn0037993	dpr15		
CG10098	FBan0010098	FBgn0037472	CG10098		
CG18730	FBan0018730	FBgn0000079	Amy-p	Amylase proximal	FBgn0014457,FBgn0035652,FBgn0042197
CG18731	FBan0018731	FBgn0042213	CG18731		
CG18734	FBan0018734	FBgn0004598	Fur2	Furin 2	FBgn0042227
CG18735	FBan0018735	FBgn0042098	CG18735		
CG1863	FBan0001863	FBgn0033435	CG1863		
CG1864	FBan0001864	FBgn0014859	Hr38	Hormone receptor-like in 38	FBgn0010510
CG1865	FBan0001865	FBgn0024293	Spn43Ab	Serine protease inhibitor 43Ab	FBgn0033146,FBgn0063808
CG2595	FBan0002595	FBgn0045843	RacGAP84C		FBgn0060294
CG1867	FBan0001867	FBgn0039582	Or98b	Odorant receptor 98b	
CG1868	FBan0001868	FBgn0033427	CG1868		
CG1869	FBan0001869	FBgn0035398	CG1869		
CG18740	FBan0018740	FBgn0002783	mor	moira	FBgn0025464,FBgn0042208
CG18741	FBan0018741	FBgn0015129	DopR2	Dopamine receptor 2	FBgn0042212
CG18743	FBan0018743	FBgn0013276	Hsp70Ab	Heat-shock-protein-70Ab	FBgn0001231,FBgn0042100
CG18744	FBan0018744	FBgn0042101	CG18744		
CR31162	FBan0031162	FBgn0051162	CR31162		FBgn0011968,FBgn0011969,FBgn0011972,FBgn0060056
CG18745	FBan0018745	FBgn0042102	CG18745		
CG18746	FBan0018746	FBgn0042103	CG18746		
CG18747	FBan0018747	FBgn0042104	CG18747		
CR31165	FBan0031165	FBgn0051165	CR31165		FBgn0011968,FBgn0011969,FBgn0011972,FBgn0060059
CR31166	FBan0031166	FBgn0051166	CR31166		FBgn0011968,FBgn0011969,FBgn0011972,FBgn0060058
CR31167	FBan0031167	FBgn0051167	CR31167		FBgn0011968,FBgn0011969,FBgn0011972,FBgn0060057
CG1871	FBan0001871	FBgn0011586	e(r)	enhancer of rudimentary	FBgn0030068
CG1873	FBan0001873	FBgn0000557	Ef1&agr;100E	Elongation factor 1&agr;100E	
CG1874	FBan0001874	FBgn0033425	CG1874		
CG1877	FBan0001877	FBgn0015509	lin19	lin-19-like	FBgn0020308,FBgn0022252
CG1878	FBan0001878	FBgn0000278	CecB	Cecropin B	
CG9000	FBan0009000	FBgn0034176	CG9000		
CG18754	FBan0018754	FBgn0042106	CG18754		
CG9001	FBan0009001	FBgn0034175	CG9001		
CG9003	FBan0009003	FBgn0033639	CG9003		
CG9004	FBan0009004	FBgn0035336	CG9004		
CG9005	FBan0009005	FBgn0033638	CG9005		FBgn0063271
CG9006	FBan0009006	FBgn0033637	CG9006		
CR30449	FBan0030449	FBgn0050449	CR30449		FBgn0050221
CG9007	FBan0009007	FBgn0036398	CG9007		
CG9008	FBan0009008	FBgn0028540	CG9008		FBgn0027905
CG9009	FBan0009009	FBgn0027601	CG9009		
CG1882	FBan0001882	FBgn0033226	CG1882		
CG1883	FBan0001883	FBgn0039757	RpS7	Ribosomal protein S7	
CG1884	FBan0001884	FBgn0033424	CG1884		FBgn0026000
CG1885	FBan0001885	FBgn0030066	CG1885		
CG1886	FBan0001886	FBgn0030343	ATP7		
CG1887	FBan0001887	FBgn0035290	CG1887		
CG1888	FBan0001888	FBgn0033421	CG1888		
CG1889	FBan0001889	FBgn0030164	CG1889		
CR30451	FBan0030451	FBgn0011850	tRNA:E4:56Fc	transfer RNA:glu4:56Fc	FBgn0003771,FBgn0011846,FBgn0050451,FBgn0060239
CR30452	FBan0030452	FBgn0050452	CR30452		FBgn0011922,FBgn0050216,FBgn0060140
CR30453	FBan0030453	FBgn0011848	tRNA:E4:56Fa	transfer RNA:glu4:56Fa	FBgn0003771,FBgn0011846,FBgn0050453,FBgn0060241
CG18764	FBan0018764	FBgn0042205	CG18764		
CG9010	FBan0009010	FBgn0034173	CG9010		
CG18765	FBan0018765	FBgn0042110	CG18765		
CR30454	FBan0030454	FBgn0050454	CR30454		FBgn0060243
CG9012	FBan0009012	FBgn0000319	Chc	Clathrin heavy chain	FBgn0014972,FBgn0028268
CR30455	FBan0030455	FBgn0011849	tRNA:E4:56Fb	transfer RNA:glu4:56Fb	FBgn0003771,FBgn0011846,FBgn0050455,FBgn0060240
CG18766	FBan0018766	FBgn0042111	CG18766		FBgn0039499
CG18767	FBan0018767	FBgn0042112	mRpL36	mitochondrial ribosomal protein L36	FBgn0063207
CG9013	FBan0009013	FBgn0034169	CG9013		
CR31185	FBan0031185	FBgn0004187	snRNA:U1:95Cc	small nuclear RNA U1 at 95Cc	FBgn0003915,FBgn0003918,FBgn0051185
CG9014	FBan0009014	FBgn0028847	CG9014		
CG18768	FBan0018768	FBgn0035808	SP2523		FBgn0035809,FBgn0035810,FBgn0042181
CG18769	FBan0018769	FBgn0042185	CG18769		FBgn0035705
CG9015	FBan0009015	FBgn0016969	en	engrailed	
CG9016	FBan0009016	FBgn0031751	CG9016		FBgn0045080,FBgn0045083,FBgn0045139,FBgn0045142,FBgn0045158,FBgn0045175,FBgn0045187,FBgn0045193,FBgn0045213,FBgn0045226,FBgn0045230,FBgn0045242,FBgn0045258,FBgn0045277,FBgn0045279,FBgn0045306,FBgn0045311,FBgn0045338,FBgn0045342,FBgn0045358,FBgn0045362,FBgn0045376,FBgn0045401,FBgn0045421,FBgn0063317
CG9018	FBan0009018	FBgn0035318	CG9018		
CG1890	FBan0001890	FBgn0039869	CG1890		
CG9019	FBan0009019	FBgn0015381	dsf	dissatisfaction	
CG1891	FBan0001891	FBgn0003317	sax	saxophone	
CG31100	FBan0031100	FBgn0051100	CG31100		FBgn0037649,FBgn0037651
CG1893	FBan0001893	FBgn0035390	CG1893		
CG1894	FBan0001894	FBgn0039585	CG1894		
CG31101	FBan0031101	FBgn0051101	CG31101		
CG1895	FBan0001895	FBgn0030339	Cyp28c1		
CG31102	FBan0031102	FBgn0051102	CG31102		FBgn0039317
CG31103	FBan0031103	FBgn0051103	CG31103		FBgn0039292
CG1896	FBan0001896	FBgn0039870	CG1896		
CG31104	FBan0031104	FBgn0051104	CG31104		FBgn0039314
CG1897	FBan0001897	FBgn0000492	Dr	Drop	FBgn0002849,FBgn0015510,FBgn0020528
CG1898	FBan0001898	FBgn0042712	HBS1		FBgn0035284
CG31105	FBan0031105	FBgn0051105	CG31105		
CG31106	FBan0031106	FBgn0051106	CG31106		FBgn0039292
CG31107	FBan0031107	FBgn0051107	5PtaseI		FBgn0039263
CG31108	FBan0031108	FBgn0051108	CG31108		FBgn0039278
CG31109	FBan0031109	FBgn0051109	CG31109		FBgn0039267,FBgn0047157
CG18773	FBan0018773	FBgn0020643	Lcp65Ab2		FBgn0002536,FBgn0042114,FBgn0047112
CG9020	FBan0009020	FBgn0030698	Aats-arg	Arginyl-tRNA synthetase	
CG9021	FBan0009021	FBgn0031747	CG9021		
CG9022	FBan0009022	FBgn0014868	Ost48	Oligosaccharyltransferase 48kD subunit	FBgn0026008
CG18777	FBan0018777	FBgn0042118	CG18777		FBgn0047080
CG9023	FBan0009023	FBgn0015872	Drip	Drip	FBgn0015156
CG18778	FBan0018778	FBgn0042119	CG18778		FBgn0063231
CG9024	FBan0009024	FBgn0002856	Acp26Ab	Accessory gland-specific peptide 26Ab	
CR31197	FBan0031197	FBgn0051197	tRNA:K5:87BC	transfer RNA:lys5:87BC	
CG18779	FBan0018779	FBgn0042120	CG18779		
CG9025	FBan0009025	FBgn0034542	CG9025		
CG9027	FBan0009027	FBgn0033631	CG9027		
CG9028	FBan0009028	FBgn0036389	CG9028		
CG9029	FBan0009029	FBgn0031746	CG9029		
CG31110	FBan0031110	FBgn0051110	CG31110		FBgn0039263,FBgn0064867
CG31111	FBan0031111	FBgn0051111	CG31111		FBgn0039267
CG31112	FBan0031112	FBgn0051112	CG31112		
CG31115	FBan0031115	FBgn0051115	CG31115		
CG31116	FBan0031116	FBgn0051116	CG31116		FBgn0037951,FBgn0037952
CG31117	FBan0031117	FBgn0051117	CG31117		
CG31118	FBan0031118	FBgn0051118	RabX4		FBgn0039231
CG31119	FBan0031119	FBgn0051119	CG31119		
CG18780	FBan0018780	FBgn0013531	Trfp	Trf-proximal	FBgn0031983,FBgn0042121
CG18783	FBan0018783	FBgn0028420	Kr-h1	Kruppel homolog 1	FBgn0001326,FBgn0010668,FBgn0024313,FBgn0042122
CG8300	FBan0008300	FBgn0029937	CG8300		
CG9030	FBan0009030	FBgn0030599	CG9030		
CG8301	FBan0008301	FBgn0037717	CG8301		
CG9031	FBan0009031	FBgn0028546	CG9031		
CG8302	FBan0008302	FBgn0034053	Cyp4aa1		
CG9032	FBan0009032	FBgn0014391	sun	stunted	FBgn0014975,FBgn0040875,FBgn0047007,FBgn0047155
